valid_time,t2m,d2m,ws,wd_deg,prec,rh,vis,vis_text,wd_web,wd,wv,wx,wx_web,loc,local_time
2022-08-02 00:00:00,23.9,23.7,4.5,29.6,0.1,99,0.6,<1,2,NE,FG,FG,4,loc2,2022-08-02 08:00:00
2022-08-02 03:00:00,28.4,23.0,6.0,58.0,4.3,73,28.6,>10,2,NE,1,HR,5,loc2,2022-08-02 11:00:00
2022-08-02 06:00:00,27.2,23.2,9.5,112.6,2.5,79,18.5,>10,4,SE,1,HR,5,loc2,2022-08-02 14:00:00
2022-08-02 09:00:00,26.0,23.5,2.4,113.2,0.5,86,9.7,<10,4,SE,1,CLEAR,1,loc2,2022-08-02 17:00:00
2022-08-02 12:00:00,24.2,23.6,5.2,323.6,0.0,96,2.1,<5,8,NW,BR,BR,3,loc2,2022-08-02 20:00:00
2022-08-02 15:00:00,23.8,23.7,4.7,15.5,0.0,99,0.3,<1,1,N,FG,FG,4,loc2,2022-08-02 23:00:00
2022-08-02 18:00:00,23.5,23.4,5.9,351.8,0.0,100,0.2,<1,1,N,FG,FG,4,loc2,2022-08-03 02:00:00
2022-08-02 21:00:00,22.9,22.7,5.7,357.6,0.2,99,0.6,<1,1,N,FG,FG,4,loc2,2022-08-03 05:00:00
2022-08-03 00:00:00,24.3,23.2,2.2,140.8,0.3,94,3.6,<5,4,SE,1,CLEAR,1,loc2,2022-08-03 08:00:00
2022-08-03 03:00:00,27.7,23.7,1.0,68.2,0.7,79,18.6,>10,3,E,1,CLEAR,1,loc2,2022-08-03 11:00:00
2022-08-03 06:00:00,29.5,24.1,6.4,100.5,7.4,73,28.4,>10,3,E,1,HS,6,loc2,2022-08-03 14:00:00
2022-08-03 09:00:00,25.9,23.7,1.8,170.7,0.2,88,8.2,<10,5,S,1,CLEAR,1,loc2,2022-08-03 17:00:00
2022-08-03 12:00:00,23.9,23.7,1.3,289.1,0.1,99,0.6,<1,7,W,FG,FG,4,loc2,2022-08-03 20:00:00
2022-08-03 15:00:00,23.5,23.5,2.0,282.0,0.0,100,0.0,<1,7,W,1,CLEAR,1,loc2,2022-08-03 23:00:00
2022-08-03 18:00:00,23.2,23.2,1.8,286.4,0.0,100,0.0,<1,7,W,1,CLEAR,1,loc2,2022-08-04 02:00:00
2022-08-03 21:00:00,23.3,23.3,2.5,279.7,0.0,100,0.0,<1,7,W,FG,FG,4,loc2,2022-08-04 05:00:00
2022-08-04 00:00:00,25.4,23.7,3.8,271.0,0.5,90,6.2,<7,7,W,1,CLEAR,1,loc2,2022-08-04 08:00:00
2022-08-04 03:00:00,28.8,23.4,13.1,141.8,0.5,72,29.2,>10,4,SE,1,CLEAR,1,loc2,2022-08-04 11:00:00
2022-08-04 06:00:00,29.0,23.1,13.5,144.3,0.3,71,33.0,>10,4,SE,1,CLEAR,1,loc2,2022-08-04 14:00:00
2022-08-04 09:00:00,27.3,23.1,8.6,149.8,0.2,78,19.8,>10,4,SE,1,CLEAR,1,loc2,2022-08-04 17:00:00
2022-08-04 12:00:00,24.3,23.3,5.9,129.4,0.0,94,3.4,<5,4,SE,1,CLEAR,1,loc2,2022-08-04 20:00:00
2022-08-04 15:00:00,24.9,23.4,3.0,114.4,0.0,91,5.4,<7,4,SE,1,CLEAR,1,loc2,2022-08-04 23:00:00
2022-08-04 18:00:00,22.9,22.9,5.0,294.8,0.1,100,0.0,<1,8,NW,1,CLEAR,1,loc2,2022-08-05 02:00:00
2022-08-04 21:00:00,23.1,22.9,6.5,220.4,0.0,98,0.9,<1,6,SW,FG,FG,4,loc2,2022-08-05 05:00:00
2022-08-05 00:00:00,24.8,22.8,5.2,240.2,0.2,89,7.6,<10,6,SW,1,CLEAR,1,loc2,2022-08-05 08:00:00
