valid_time,durasi,prec24,rhmin,rhmax,tmin,tmax,ws,wd,wx,vis,vis_text,loc
2022-08-02,6,7.4,73,99,23.1,30.0,5.4,NE,HR,9.7,<10,loc2
2022-08-03,3,8.9,73,100,22.2,29.5,3.3,N,HS,8.2,<10,loc2
2022-08-04,0,1.5,71,100,22.7,29.4,6.5,SE,FG,6.2,<7,loc2
2022-08-05,0,0.7,67,100,22.3,29.1,7.5,SW,FG,7.6,<10,loc2
2022-08-06,0,0.1,65,100,20.9,29.6,6.3,W,FG,7.2,<10,loc2
2022-08-07,0,0.0,67,100,20.4,29.7,6.2,NW,CLEAR,7.6,<10,loc2
2022-08-08,3,9.5,78,100,22.5,29.5,4.5,NE,HS,9.3,<10,loc2
2022-08-09,3,8.6,75,100,22.8,29.4,4.2,N,HS,5.0,<7,loc2
2022-08-10,6,8.3,75,98,22.4,30.3,5.0,N,HS,24.6,>10,loc2
2022-08-11,0,1.4,72,97,23.4,30.7,6.3,N,BR,5.7,<7,loc2
2022-08-12,0,0.0,92,98,23.4,25.7,4.3,NW,BR,5.0,<7,loc2
