valid_time,t2m,d2m,ws,wd_deg,prec,rh,vis,vis_text,wd_web,wd,wv,wx,wx_web,loc,local_time
2022-08-02 00:00:00,25.1,23.9,6.5,44.3,0.0,93,4.0,<5,2,NE,1,CLEAR,1,loc4,2022-08-02 08:00:00
2022-08-02 03:00:00,28.1,23.1,8.2,82.4,2.1,74,25.9,>10,3,E,1,HR,5,loc4,2022-08-02 11:00:00
2022-08-02 06:00:00,26.4,23.1,16.9,129.9,0.1,82,14.3,>10,4,SE,1,CLEAR,1,loc4,2022-08-02 14:00:00
2022-08-02 09:00:00,27.1,23.1,11.8,101.9,0.0,79,18.6,>10,3,E,1,CLEAR,1,loc4,2022-08-02 17:00:00
2022-08-02 12:00:00,26.4,23.3,6.7,76.6,0.4,83,13.2,>10,3,E,1,CLEAR,1,loc4,2022-08-02 20:00:00
2022-08-02 15:00:00,25.5,23.5,6.6,68.4,0.0,89,7.5,<10,3,E,1,CLEAR,1,loc4,2022-08-02 23:00:00
2022-08-02 18:00:00,24.9,23.6,6.8,11.4,0.0,93,4.4,<5,1,N,1,CLEAR,1,loc4,2022-08-03 02:00:00
2022-08-02 21:00:00,24.2,23.3,6.1,13.6,1.4,95,3.2,<5,1,N,1,HR,5,loc4,2022-08-03 05:00:00
2022-08-03 00:00:00,25.6,23.2,7.7,112.2,0.2,86,9.7,<10,3,E,1,CLEAR,1,loc4,2022-08-03 08:00:00
2022-08-03 03:00:00,27.6,23.5,7.2,116.3,0.1,78,19.1,>10,4,SE,1,CLEAR,1,loc4,2022-08-03 11:00:00
2022-08-03 06:00:00,28.0,23.9,8.5,155.5,0.3,78,19.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-03 14:00:00
2022-08-03 09:00:00,27.5,23.9,6.8,144.0,0.2,81,15.6,>10,4,SE,1,CLEAR,1,loc4,2022-08-03 17:00:00
2022-08-03 12:00:00,26.4,24.0,10.4,125.8,0.2,86,9.6,<10,4,SE,1,CLEAR,1,loc4,2022-08-03 20:00:00
2022-08-03 15:00:00,26.6,24.0,10.6,117.9,0.1,86,10.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-03 23:00:00
2022-08-03 18:00:00,26.7,23.6,13.1,130.5,0.0,83,12.8,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 02:00:00
2022-08-03 21:00:00,26.4,23.4,11.7,140.6,0.0,84,12.5,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 05:00:00
2022-08-04 00:00:00,27.5,23.3,15.7,146.1,0.3,78,20.1,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 08:00:00
2022-08-04 03:00:00,28.4,23.5,20.1,145.1,0.2,75,25.1,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 11:00:00
2022-08-04 06:00:00,28.7,22.9,18.9,146.3,0.1,71,31.9,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 14:00:00
2022-08-04 09:00:00,28.0,23.2,16.6,149.9,0.2,75,23.8,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 17:00:00
2022-08-04 12:00:00,27.1,23.1,11.4,139.5,0.2,79,18.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 20:00:00
2022-08-04 15:00:00,26.6,23.4,7.2,126.0,0.2,82,13.9,>10,4,SE,1,CLEAR,1,loc4,2022-08-04 23:00:00
2022-08-04 18:00:00,25.5,23.5,5.9,170.2,0.7,89,7.4,<10,5,S,1,CLEAR,1,loc4,2022-08-05 02:00:00
2022-08-04 21:00:00,24.5,22.5,4.7,238.2,0.6,89,7.5,<10,6,SW,1,CLEAR,1,loc4,2022-08-05 05:00:00
2022-08-05 00:00:00,26.6,22.7,13.8,164.5,0.2,79,18.4,>10,5,S,1,CLEAR,1,loc4,2022-08-05 08:00:00
2022-08-05 03:00:00,28.2,21.9,17.3,165.2,0.2,69,37.0,>10,5,S,1,CLEAR,1,loc4,2022-08-05 11:00:00
2022-08-05 06:00:00,28.2,22.0,16.4,162.4,0.0,69,36.8,>10,5,S,1,CLEAR,1,loc4,2022-08-05 14:00:00
2022-08-05 09:00:00,27.8,22.8,14.9,164.0,0.0,74,25.8,>10,5,S,1,CLEAR,1,loc4,2022-08-05 17:00:00
2022-08-05 12:00:00,26.8,23.6,11.0,147.1,0.0,83,13.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-05 20:00:00
2022-08-05 15:00:00,26.7,23.2,10.3,171.7,0.0,81,15.2,>10,5,S,1,CLEAR,1,loc4,2022-08-05 23:00:00
2022-08-05 18:00:00,25.8,23.3,9.2,170.2,0.0,86,10.0,<10,5,S,1,CLEAR,1,loc4,2022-08-06 02:00:00
2022-08-05 21:00:00,25.5,23.1,8.9,167.7,0.0,87,9.4,<10,5,S,1,CLEAR,1,loc4,2022-08-06 05:00:00
2022-08-06 00:00:00,26.7,22.3,10.7,172.1,0.0,77,21.5,>10,5,S,1,CLEAR,1,loc4,2022-08-06 08:00:00
2022-08-06 03:00:00,28.1,22.3,13.0,163.1,0.0,71,32.3,>10,5,S,1,CLEAR,1,loc4,2022-08-06 11:00:00
2022-08-06 06:00:00,28.1,22.0,12.6,154.8,0.0,69,35.3,>10,4,SE,1,CLEAR,1,loc4,2022-08-06 14:00:00
2022-08-06 09:00:00,28.0,21.9,11.2,148.9,0.0,69,35.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-06 17:00:00
2022-08-06 12:00:00,26.8,21.7,6.6,147.5,0.0,74,26.5,>10,4,SE,1,CLEAR,1,loc4,2022-08-06 20:00:00
2022-08-06 15:00:00,26.3,21.9,11.6,151.2,0.0,77,21.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-06 23:00:00
2022-08-06 18:00:00,25.8,21.8,10.4,150.3,0.0,78,19.2,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 02:00:00
2022-08-06 21:00:00,25.1,21.9,6.0,111.6,0.0,83,13.4,>10,3,E,1,CLEAR,1,loc4,2022-08-07 05:00:00
2022-08-07 00:00:00,25.9,22.2,0.8,121.7,0.0,80,17.2,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 08:00:00
2022-08-07 03:00:00,28.3,22.4,13.0,149.5,0.0,70,33.9,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 11:00:00
2022-08-07 06:00:00,28.5,22.5,14.1,154.6,0.0,70,34.5,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 14:00:00
2022-08-07 09:00:00,28.0,22.5,13.0,142.0,0.0,72,29.1,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 17:00:00
2022-08-07 12:00:00,27.6,22.4,14.1,137.1,0.0,73,27.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 20:00:00
2022-08-07 15:00:00,27.5,22.9,9.9,114.4,0.0,76,22.9,>10,4,SE,1,CLEAR,1,loc4,2022-08-07 23:00:00
2022-08-07 18:00:00,27.1,22.0,13.1,128.5,0.0,74,26.1,>10,4,SE,1,CLEAR,1,loc4,2022-08-08 02:00:00
2022-08-07 21:00:00,26.9,23.1,11.5,137.0,0.0,80,16.9,>10,4,SE,1,CLEAR,1,loc4,2022-08-08 05:00:00
2022-08-08 00:00:00,27.8,23.5,12.7,142.5,0.2,78,20.4,>10,4,SE,1,CLEAR,1,loc4,2022-08-08 08:00:00
2022-08-08 06:00:00,27.8,23.7,18.3,137.1,10.2,78,19.1,>10,4,SE,1,HS,6,loc4,2022-08-08 14:00:00
2022-08-08 12:00:00,25.1,23.6,6.7,95.3,0.4,91,5.5,<7,3,E,1,CLEAR,1,loc4,2022-08-08 20:00:00
2022-08-08 18:00:00,25.8,24.0,12.5,111.8,3.6,90,6.4,<7,3,E,1,HR,5,loc4,2022-08-09 02:00:00
2022-08-09 00:00:00,24.5,23.2,8.8,89.9,0.6,92,4.9,<5,3,E,1,CLEAR,1,loc4,2022-08-09 08:00:00
