valid_time,t2m,d2m,ws,wd_deg,prec,rh,vis,vis_text,wd_web,wd,wv,wx,wx_web,loc,local_time
2022-08-07 09:00:00,27.7,22.5,9.0,143.5,0.0,73,27.2,>10,4,SE,1,CLEAR,1,loc3,2022-08-07 17:00:00
2022-08-07 12:00:00,25.4,22.5,8.2,163.8,0.0,84,12.4,>10,5,S,1,CLEAR,1,loc3,2022-08-07 20:00:00
2022-08-07 15:00:00,24.2,22.8,5.2,36.3,0.0,92,5.2,<7,2,NE,1,CLEAR,1,loc3,2022-08-07 23:00:00
2022-08-07 18:00:00,23.6,22.0,7.5,61.1,0.0,91,5.8,<7,2,NE,1,CLEAR,1,loc3,2022-08-08 02:00:00
2022-08-07 21:00:00,25.3,23.0,1.5,349.7,0.0,87,8.9,<10,1,N,1,CLEAR,1,loc3,2022-08-08 05:00:00
2022-08-08 00:00:00,26.5,23.3,1.1,24.1,0.9,82,14.1,>10,2,NE,1,CLEAR,1,loc3,2022-08-08 08:00:00
2022-08-08 06:00:00,28.2,23.5,12.7,142.9,14.1,76,23.1,>10,4,SE,1,HS,6,loc3,2022-08-08 14:00:00
2022-08-08 12:00:00,23.6,23.6,3.2,2.1,0.2,100,0.1,<1,1,N,FG,FG,4,loc3,2022-08-08 20:00:00
2022-08-08 18:00:00,23.7,23.7,4.7,10.8,1.4,100,0.0,<1,1,N,1,HR,5,loc3,2022-08-09 02:00:00
2022-08-09 00:00:00,24.4,23.4,2.9,121.6,0.5,94,3.6,<5,4,SE,1,CLEAR,1,loc3,2022-08-09 08:00:00
2022-08-09 06:00:00,29.5,24.0,7.8,122.8,3.5,72,29.9,>10,4,SE,1,HR,5,loc3,2022-08-09 14:00:00
2022-08-09 12:00:00,24.6,24.5,5.2,337.2,0.0,99,0.3,<1,8,NW,FG,FG,4,loc3,2022-08-09 20:00:00
2022-08-09 18:00:00,23.0,22.9,5.1,347.6,0.0,99,0.6,<1,1,N,FG,FG,4,loc3,2022-08-10 02:00:00
2022-08-10 00:00:00,25.4,24.5,2.2,13.7,1.9,95,3.0,<5,1,N,1,HR,5,loc3,2022-08-10 08:00:00
2022-08-10 06:00:00,29.3,25.1,8.3,150.4,2.2,78,19.6,>10,4,SE,1,HR,5,loc3,2022-08-10 14:00:00
2022-08-10 12:00:00,24.8,24.6,2.7,3.6,0.0,99,0.8,<1,1,N,FG,FG,4,loc3,2022-08-10 20:00:00
2022-08-10 18:00:00,24.0,23.8,5.9,13.2,0.0,99,0.7,<1,1,N,FG,FG,4,loc3,2022-08-11 02:00:00
2022-08-11 00:00:00,25.9,24.9,3.4,322.4,0.9,94,3.5,<5,8,NW,1,CLEAR,1,loc3,2022-08-11 08:00:00
2022-08-11 06:00:00,30.7,24.3,12.4,116.8,0.1,69,37.1,>10,4,SE,1,CLEAR,1,loc3,2022-08-11 14:00:00
2022-08-11 12:00:00,26.1,24.1,7.4,86.1,0.0,89,7.4,<10,3,E,1,CLEAR,1,loc3,2022-08-11 20:00:00
2022-08-11 18:00:00,24.4,23.9,4.0,357.9,0.0,97,1.5,<5,1,N,BR,BR,3,loc3,2022-08-12 02:00:00
2022-08-12 00:00:00,26.5,25.0,4.2,8.4,nan,91,5.7,<7,1,N,1,CLEAR,1,loc3,2022-08-12 08:00:00
